# board=pi5
# config=solo
# repeats=1000
# expected_active_cores=1
# runner=crisp_run_paper_matrix.sh
[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 2400000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=1, lock_freq_khz=2400000
# cpu0=gsm_dec (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=gsm_dec cycles=1860989 instructions=2783612 cache-misses=151
[sample=36] cpu=0 bench=gsm_dec cycles=1841783 instructions=2784038 cache-misses=15
[sample=37] cpu=0 bench=gsm_dec cycles=1838685 instructions=2784038 cache-misses=15
[sample=38] cpu=0 bench=gsm_dec cycles=1835526 instructions=2784038 cache-misses=10
[sample=39] cpu=0 bench=gsm_dec cycles=1840656 instructions=2784038 cache-misses=15
[sample=40] cpu=0 bench=gsm_dec cycles=1838944 instructions=2784038 cache-misses=14
[sample=41] cpu=0 bench=gsm_dec cycles=1834873 instructions=2784038 cache-misses=13
[sample=42] cpu=0 bench=gsm_dec cycles=1836107 instructions=2784038 cache-misses=18
[sample=43] cpu=0 bench=gsm_dec cycles=1836663 instructions=2784038 cache-misses=13
[sample=44] cpu=0 bench=gsm_dec cycles=1846157 instructions=2784038 cache-misses=15
[sample=45] cpu=0 bench=gsm_dec cycles=1834669 instructions=2784038 cache-misses=15
[sample=46] cpu=0 bench=gsm_dec cycles=1837666 instructions=2784038 cache-misses=13
[sample=47] cpu=0 bench=gsm_dec cycles=1844511 instructions=2784038 cache-misses=15
[sample=48] cpu=0 bench=gsm_dec cycles=1831474 instructions=2784038 cache-misses=15
[sample=49] cpu=0 bench=gsm_dec cycles=1834203 instructions=2784038 cache-misses=13
[sample=50] cpu=0 bench=gsm_dec cycles=1835703 instructions=2784038 cache-misses=9
[sample=51] cpu=0 bench=gsm_dec cycles=1835357 instructions=2784038 cache-misses=14
[sample=52] cpu=0 bench=gsm_dec cycles=1840046 instructions=2784038 cache-misses=21
[sample=53] cpu=0 bench=gsm_dec cycles=1834085 instructions=2784038 cache-misses=11
[sample=54] cpu=0 bench=gsm_dec cycles=1834515 instructions=2784038 cache-misses=18
[sample=55] cpu=0 bench=gsm_dec cycles=1835225 instructions=2784038 cache-misses=16
[sample=56] cpu=0 bench=gsm_dec cycles=1842938 instructions=2784038 cache-misses=15
[sample=57] cpu=0 bench=gsm_dec cycles=1834292 instructions=2784038 cache-misses=17
[sample=58] cpu=0 bench=gsm_dec cycles=1842464 instructions=2784038 cache-misses=11
[sample=59] cpu=0 bench=gsm_dec cycles=1839089 instructions=2784038 cache-misses=16
[sample=60] cpu=0 bench=gsm_dec cycles=1809588 instructions=2784038 cache-misses=18
[sample=61] cpu=0 bench=gsm_dec cycles=1826822 instructions=2784038 cache-misses=13
[sample=62] cpu=0 bench=gsm_dec cycles=1798422 instructions=2784038 cache-misses=16
[sample=63] cpu=0 bench=gsm_dec cycles=1732537 instructions=2784038 cache-misses=16
[sample=64] cpu=0 bench=gsm_dec cycles=1836765 instructions=2784038 cache-misses=7
[sample=65] cpu=0 bench=gsm_dec cycles=1837481 instructions=2784038 cache-misses=15
[sample=66] cpu=0 bench=gsm_dec cycles=1844173 instructions=2784038 cache-misses=13
[sample=67] cpu=0 bench=gsm_dec cycles=1834798 instructions=2784038 cache-misses=11
[sample=68] cpu=0 bench=gsm_dec cycles=1829758 instructions=2784038 cache-misses=14
[sample=69] cpu=0 bench=gsm_dec cycles=1831874 instructions=2784038 cache-misses=14
[sample=70] cpu=0 bench=gsm_dec cycles=1841672 instructions=2784038 cache-misses=15
[sample=71] cpu=0 bench=gsm_dec cycles=1843163 instructions=2784038 cache-misses=19
[sample=72] cpu=0 bench=gsm_dec cycles=1844278 instructions=2784038 cache-misses=12
[sample=73] cpu=0 bench=gsm_dec cycles=1839162 instructions=2784038 cache-misses=21
[sample=74] cpu=0 bench=gsm_dec cycles=1840783 instructions=2784038 cache-misses=14
[sample=75] cpu=0 bench=gsm_dec cycles=1821975 instructions=2784038 cache-misses=13
[sample=76] cpu=0 bench=gsm_dec cycles=1837534 instructions=2784038 cache-misses=17
[sample=77] cpu=0 bench=gsm_dec cycles=1828918 instructions=2784038 cache-misses=16
[sample=78] cpu=0 bench=gsm_dec cycles=1836677 instructions=2784038 cache-misses=15
[sample=79] cpu=0 bench=gsm_dec cycles=1840730 instructions=2784038 cache-misses=15
[sample=80] cpu=0 bench=gsm_dec cycles=1829786 instructions=2784038 cache-misses=13
[sample=81] cpu=0 bench=gsm_dec cycles=1832858 instructions=2784038 cache-misses=12
[sample=82] cpu=0 bench=gsm_dec cycles=1833655 instructions=2784038 cache-misses=13
[sample=83] cpu=0 bench=gsm_dec cycles=1841485 instructions=2784038 cache-misses=19
[sample=84] cpu=0 bench=gsm_dec cycles=1845876 instructions=2784038 cache-misses=11
[sample=85] cpu=0 bench=gsm_dec cycles=1836417 instructions=2784038 cache-misses=14
[sample=86] cpu=0 bench=gsm_dec cycles=1825368 instructions=2784038 cache-misses=17
[sample=87] cpu=0 bench=gsm_dec cycles=1844937 instructions=2784038 cache-misses=13
[sample=88] cpu=0 bench=gsm_dec cycles=1841673 instructions=2784038 cache-misses=20
[sample=89] cpu=0 bench=gsm_dec cycles=1837940 instructions=2784038 cache-misses=15
[sample=90] cpu=0 bench=gsm_dec cycles=1828540 instructions=2784038 cache-misses=12
[sample=91] cpu=0 bench=gsm_dec cycles=1837578 instructions=2784038 cache-misses=14
[sample=92] cpu=0 bench=gsm_dec cycles=1843375 instructions=2784038 cache-misses=15
[sample=93] cpu=0 bench=gsm_dec cycles=1841474 instructions=2784038 cache-misses=14
[sample=94] cpu=0 bench=gsm_dec cycles=1843955 instructions=2784038 cache-misses=18
[sample=95] cpu=0 bench=gsm_dec cycles=1825822 instructions=2784038 cache-misses=14
[sample=96] cpu=0 bench=gsm_dec cycles=1823519 instructions=2784038 cache-misses=9
[sample=97] cpu=0 bench=gsm_dec cycles=1841423 instructions=2784038 cache-misses=12
[sample=98] cpu=0 bench=gsm_dec cycles=1844558 instructions=2784038 cache-misses=13
[sample=99] cpu=0 bench=gsm_dec cycles=1803372 instructions=2784038 cache-misses=17
[sample=100] cpu=0 bench=gsm_dec cycles=1832928 instructions=2784038 cache-misses=18
[sample=101] cpu=0 bench=gsm_dec cycles=1839239 instructions=2784038 cache-misses=11
[sample=102] cpu=0 bench=gsm_dec cycles=1836142 instructions=2784038 cache-misses=16
[sample=103] cpu=0 bench=gsm_dec cycles=1845940 instructions=2784038 cache-misses=16
[sample=104] cpu=0 bench=gsm_dec cycles=1842942 instructions=2784038 cache-misses=16
[sample=105] cpu=0 bench=gsm_dec cycles=1844601 instructions=2784038 cache-misses=17
[sample=106] cpu=0 bench=gsm_dec cycles=1841423 instructions=2784038 cache-misses=15
[sample=107] cpu=0 bench=gsm_dec cycles=1843868 instructions=2784038 cache-misses=15
[sample=108] cpu=0 bench=gsm_dec cycles=1839609 instructions=2784038 cache-misses=19
[sample=109] cpu=0 bench=gsm_dec cycles=1842104 instructions=2784038 cache-misses=13
[sample=110] cpu=0 bench=gsm_dec cycles=1818289 instructions=2784038 cache-misses=14
[sample=111] cpu=0 bench=gsm_dec cycles=1739974 instructions=2784038 cache-misses=15
[sample=112] cpu=0 bench=gsm_dec cycles=1827299 instructions=2784038 cache-misses=18
[sample=113] cpu=0 bench=gsm_dec cycles=1831616 instructions=2784038 cache-misses=18
[sample=114] cpu=0 bench=gsm_dec cycles=1836556 instructions=2784038 cache-misses=13
[sample=115] cpu=0 bench=gsm_dec cycles=1833419 instructions=2784038 cache-misses=14
[sample=116] cpu=0 bench=gsm_dec cycles=1827777 instructions=2784038 cache-misses=13
[sample=117] cpu=0 bench=gsm_dec cycles=1837735 instructions=2784038 cache-misses=10
[sample=118] cpu=0 bench=gsm_dec cycles=1844795 instructions=2784038 cache-misses=17
[sample=119] cpu=0 bench=gsm_dec cycles=1835057 instructions=2784038 cache-misses=19
[sample=120] cpu=0 bench=gsm_dec cycles=1844848 instructions=2784038 cache-misses=13
[sample=121] cpu=0 bench=gsm_dec cycles=1834366 instructions=2784038 cache-misses=20
[sample=122] cpu=0 bench=gsm_dec cycles=1842584 instructions=2784038 cache-misses=18
[sample=123] cpu=0 bench=gsm_dec cycles=1831349 instructions=2784038 cache-misses=13
[sample=124] cpu=0 bench=gsm_dec cycles=1838854 instructions=2784038 cache-misses=20
[sample=125] cpu=0 bench=gsm_dec cycles=1824925 instructions=2784038 cache-misses=14
[sample=126] cpu=0 bench=gsm_dec cycles=1833279 instructions=2784038 cache-misses=17
[sample=127] cpu=0 bench=gsm_dec cycles=1841914 instructions=2784038 cache-misses=19
[sample=128] cpu=0 bench=gsm_dec cycles=1842110 instructions=2784038 cache-misses=11
[sample=129] cpu=0 bench=gsm_dec cycles=1840135 instructions=2784038 cache-misses=11
[sample=130] cpu=0 bench=gsm_dec cycles=1838342 instructions=2784038 cache-misses=12
[sample=131] cpu=0 bench=gsm_dec cycles=1837729 instructions=2784038 cache-misses=16
[sample=132] cpu=0 bench=gsm_dec cycles=1836592 instructions=2784038 cache-misses=14
[sample=133] cpu=0 bench=gsm_dec cycles=1844245 instructions=2784038 cache-misses=14
[sample=134] cpu=0 bench=gsm_dec cycles=1839721 instructions=2784038 cache-misses=17
[sample=135] cpu=0 bench=gsm_dec cycles=1841209 instructions=2784038 cache-misses=18
[sample=136] cpu=0 bench=gsm_dec cycles=1837859 instructions=2784038 cache-misses=14
[sample=137] cpu=0 bench=gsm_dec cycles=1790254 instructions=2784038 cache-misses=21
[sample=138] cpu=0 bench=gsm_dec cycles=1842803 instructions=2784038 cache-misses=14
[sample=139] cpu=0 bench=gsm_dec cycles=1835281 instructions=2784038 cache-misses=14
[sample=140] cpu=0 bench=gsm_dec cycles=1820776 instructions=2784038 cache-misses=16
[sample=141] cpu=0 bench=gsm_dec cycles=1844609 instructions=2784038 cache-misses=21
[sample=142] cpu=0 bench=gsm_dec cycles=1814829 instructions=2784038 cache-misses=13
[sample=143] cpu=0 bench=gsm_dec cycles=1832863 instructions=2784038 cache-misses=17
[sample=144] cpu=0 bench=gsm_dec cycles=1847593 instructions=2784038 cache-misses=14
[sample=145] cpu=0 bench=gsm_dec cycles=1847225 instructions=2784038 cache-misses=18
[sample=146] cpu=0 bench=gsm_dec cycles=1841998 instructions=2784038 cache-misses=15
[sample=147] cpu=0 bench=gsm_dec cycles=1839509 instructions=2784038 cache-misses=12
[sample=148] cpu=0 bench=gsm_dec cycles=1843587 instructions=2784038 cache-misses=17
[sample=149] cpu=0 bench=gsm_dec cycles=1839188 instructions=2784038 cache-misses=17
[sample=150] cpu=0 bench=gsm_dec cycles=1842568 instructions=2784038 cache-misses=17
[sample=151] cpu=0 bench=gsm_dec cycles=1824239 instructions=2784038 cache-misses=18
[sample=152] cpu=0 bench=gsm_dec cycles=1843948 instructions=2784038 cache-misses=12
[sample=153] cpu=0 bench=gsm_dec cycles=1837923 instructions=2784038 cache-misses=14
[sample=154] cpu=0 bench=gsm_dec cycles=1847430 instructions=2784038 cache-misses=21
[sample=155] cpu=0 bench=gsm_dec cycles=1837938 instructions=2784038 cache-misses=11
[sample=156] cpu=0 bench=gsm_dec cycles=1829932 instructions=2784038 cache-misses=16
[sample=157] cpu=0 bench=gsm_dec cycles=1840532 instructions=2784038 cache-misses=21
[sample=158] cpu=0 bench=gsm_dec cycles=1843702 instructions=2784038 cache-misses=15
[sample=159] cpu=0 bench=gsm_dec cycles=1836832 instructions=2784038 cache-misses=14
[sample=160] cpu=0 bench=gsm_dec cycles=1826754 instructions=2784038 cache-misses=14
[sample=161] cpu=0 bench=gsm_dec cycles=1838778 instructions=2784038 cache-misses=10
[sample=162] cpu=0 bench=gsm_dec cycles=1839387 instructions=2784038 cache-misses=12
[sample=163] cpu=0 bench=gsm_dec cycles=1844966 instructions=2784038 cache-misses=13
[sample=164] cpu=0 bench=gsm_dec cycles=1793238 instructions=2784038 cache-misses=17
[sample=165] cpu=0 bench=gsm_dec cycles=1818206 instructions=2784038 cache-misses=14
[sample=166] cpu=0 bench=gsm_dec cycles=1831243 instructions=2784038 cache-misses=14
[sample=167] cpu=0 bench=gsm_dec cycles=1836187 instructions=2784038 cache-misses=15
[sample=168] cpu=0 bench=gsm_dec cycles=1833542 instructions=2784038 cache-misses=15
[sample=169] cpu=0 bench=gsm_dec cycles=1844040 instructions=2784038 cache-misses=16
[sample=170] cpu=0 bench=gsm_dec cycles=1837620 instructions=2784038 cache-misses=9
[sample=171] cpu=0 bench=gsm_dec cycles=1838044 instructions=2784038 cache-misses=17
[sample=172] cpu=0 bench=gsm_dec cycles=1845565 instructions=2784038 cache-misses=17
[sample=173] cpu=0 bench=gsm_dec cycles=1846270 instructions=2784038 cache-misses=19
[sample=174] cpu=0 bench=gsm_dec cycles=1833720 instructions=2784038 cache-misses=14
[sample=175] cpu=0 bench=gsm_dec cycles=1836130 instructions=2784038 cache-misses=13
[sample=176] cpu=0 bench=gsm_dec cycles=1823923 instructions=2784038 cache-misses=11
[sample=177] cpu=0 bench=gsm_dec cycles=1837281 instructions=2784038 cache-misses=17
[sample=178] cpu=0 bench=gsm_dec cycles=1835498 instructions=2784038 cache-misses=13
[sample=179] cpu=0 bench=gsm_dec cycles=1828413 instructions=2784038 cache-misses=15
[sample=180] cpu=0 bench=gsm_dec cycles=1830832 instructions=2784038 cache-misses=20
[sample=181] cpu=0 bench=gsm_dec cycles=1838199 instructions=2784038 cache-misses=13
[sample=182] cpu=0 bench=gsm_dec cycles=1840036 instructions=2784038 cache-misses=15
[sample=183] cpu=0 bench=gsm_dec cycles=1836129 instructions=2784038 cache-misses=21
[sample=184] cpu=0 bench=gsm_dec cycles=1840017 instructions=2784038 cache-misses=16
[sample=185] cpu=0 bench=gsm_dec cycles=1827414 instructions=2784038 cache-misses=21
[sample=186] cpu=0 bench=gsm_dec cycles=1822278 instructions=2784038 cache-misses=13
[sample=187] cpu=0 bench=gsm_dec cycles=1849825 instructions=2784038 cache-misses=16
[sample=188] cpu=0 bench=gsm_dec cycles=1828947 instructions=2784038 cache-misses=17
[sample=189] cpu=0 bench=gsm_dec cycles=1840967 instructions=2784038 cache-misses=16
[sample=190] cpu=0 bench=gsm_dec cycles=1839477 instructions=2784038 cache-misses=15
[sample=191] cpu=0 bench=gsm_dec cycles=1844910 instructions=2784038 cache-misses=15
[sample=192] cpu=0 bench=gsm_dec cycles=1838069 instructions=2784038 cache-misses=16
[sample=193] cpu=0 bench=gsm_dec cycles=1835674 instructions=2784038 cache-misses=10
[sample=194] cpu=0 bench=gsm_dec cycles=1832904 instructions=2784038 cache-misses=14
[sample=195] cpu=0 bench=gsm_dec cycles=1836298 instructions=2784038 cache-misses=16
[sample=196] cpu=0 bench=gsm_dec cycles=1831731 instructions=2784038 cache-misses=16
[sample=197] cpu=0 bench=gsm_dec cycles=1835061 instructions=2784038 cache-misses=13
[sample=198] cpu=0 bench=gsm_dec cycles=1828495 instructions=2784038 cache-misses=14
[sample=199] cpu=0 bench=gsm_dec cycles=1842051 instructions=2784038 cache-misses=19
[sample=200] cpu=0 bench=gsm_dec cycles=1843819 instructions=2784038 cache-misses=16
[sample=201] cpu=0 bench=gsm_dec cycles=1838832 instructions=2784038 cache-misses=16
[sample=202] cpu=0 bench=gsm_dec cycles=1835843 instructions=2784038 cache-misses=18
[sample=203] cpu=0 bench=gsm_dec cycles=1830340 instructions=2784038 cache-misses=19
[sample=204] cpu=0 bench=gsm_dec cycles=1830752 instructions=2784038 cache-misses=17
[sample=205] cpu=0 bench=gsm_dec cycles=1836612 instructions=2784038 cache-misses=14
[sample=206] cpu=0 bench=gsm_dec cycles=1784096 instructions=2784038 cache-misses=15
[sample=207] cpu=0 bench=gsm_dec cycles=1772010 instructions=2784038 cache-misses=16
[sample=208] cpu=0 bench=gsm_dec cycles=1836162 instructions=2784038 cache-misses=13
[sample=209] cpu=0 bench=gsm_dec cycles=1848425 instructions=2784038 cache-misses=13
[sample=210] cpu=0 bench=gsm_dec cycles=1842177 instructions=2784038 cache-misses=15
[sample=211] cpu=0 bench=gsm_dec cycles=1840906 instructions=2784038 cache-misses=16
[sample=212] cpu=0 bench=gsm_dec cycles=1838768 instructions=2784038 cache-misses=16
[sample=213] cpu=0 bench=gsm_dec cycles=1839755 instructions=2784038 cache-misses=13
[sample=214] cpu=0 bench=gsm_dec cycles=1836509 instructions=2784038 cache-misses=27
[sample=215] cpu=0 bench=gsm_dec cycles=1839675 instructions=2784038 cache-misses=17
[sample=216] cpu=0 bench=gsm_dec cycles=1847813 instructions=2784038 cache-misses=15
[sample=217] cpu=0 bench=gsm_dec cycles=1834711 instructions=2784038 cache-misses=21
[sample=218] cpu=0 bench=gsm_dec cycles=1838780 instructions=2784038 cache-misses=18
[sample=219] cpu=0 bench=gsm_dec cycles=1832026 instructions=2784038 cache-misses=16
[sample=220] cpu=0 bench=gsm_dec cycles=1842845 instructions=2784038 cache-misses=13
[sample=221] cpu=0 bench=gsm_dec cycles=1838230 instructions=2784038 cache-misses=16
[sample=222] cpu=0 bench=gsm_dec cycles=1840848 instructions=2784038 cache-misses=15
[sample=223] cpu=0 bench=gsm_dec cycles=1842204 instructions=2784038 cache-misses=13
[sample=224] cpu=0 bench=gsm_dec cycles=1831002 instructions=2784038 cache-misses=12
[sample=225] cpu=0 bench=gsm_dec cycles=1830020 instructions=2784038 cache-misses=17
[sample=226] cpu=0 bench=gsm_dec cycles=1832527 instructions=2784038 cache-misses=17
[sample=227] cpu=0 bench=gsm_dec cycles=1842697 instructions=2784038 cache-misses=18
[sample=228] cpu=0 bench=gsm_dec cycles=1841666 instructions=2784038 cache-misses=14
[sample=229] cpu=0 bench=gsm_dec cycles=1844939 instructions=2784038 cache-misses=14
[sample=230] cpu=0 bench=gsm_dec cycles=1839939 instructions=2784038 cache-misses=18
[sample=231] cpu=0 bench=gsm_dec cycles=1836611 instructions=2784038 cache-misses=10
[sample=232] cpu=0 bench=gsm_dec cycles=1835827 instructions=2784038 cache-misses=19
[sample=233] cpu=0 bench=gsm_dec cycles=1831442 instructions=2784038 cache-misses=14
[sample=234] cpu=0 bench=gsm_dec cycles=1838015 instructions=2784038 cache-misses=13
[sample=235] cpu=0 bench=gsm_dec cycles=1845302 instructions=2784038 cache-misses=13
[sample=236] cpu=0 bench=gsm_dec cycles=1828302 instructions=2784038 cache-misses=17
[sample=237] cpu=0 bench=gsm_dec cycles=1835309 instructions=2784038 cache-misses=14
[sample=238] cpu=0 bench=gsm_dec cycles=1842723 instructions=2784038 cache-misses=19
[sample=239] cpu=0 bench=gsm_dec cycles=1847506 instructions=2784038 cache-misses=12
[sample=240] cpu=0 bench=gsm_dec cycles=1841897 instructions=2784038 cache-misses=10
[sample=241] cpu=0 bench=gsm_dec cycles=1840192 instructions=2784038 cache-misses=10
[sample=242] cpu=0 bench=gsm_dec cycles=1840310 instructions=2784038 cache-misses=17
[sample=243] cpu=0 bench=gsm_dec cycles=1838146 instructions=2784038 cache-misses=14
[sample=244] cpu=0 bench=gsm_dec cycles=1837904 instructions=2784038 cache-misses=17
[sample=245] cpu=0 bench=gsm_dec cycles=1837190 instructions=2784038 cache-misses=16
[sample=246] cpu=0 bench=gsm_dec cycles=1836974 instructions=2784038 cache-misses=15
[sample=247] cpu=0 bench=gsm_dec cycles=1836284 instructions=2784038 cache-misses=11
[sample=248] cpu=0 bench=gsm_dec cycles=1834151 instructions=2784038 cache-misses=16
[sample=249] cpu=0 bench=gsm_dec cycles=1833638 instructions=2784038 cache-misses=17
[sample=250] cpu=0 bench=gsm_dec cycles=1794226 instructions=2784038 cache-misses=18
[sample=251] cpu=0 bench=gsm_dec cycles=1741087 instructions=2784038 cache-misses=11
[sample=252] cpu=0 bench=gsm_dec cycles=1812259 instructions=2784038 cache-misses=14
[sample=253] cpu=0 bench=gsm_dec cycles=1836022 instructions=2784038 cache-misses=17
[sample=254] cpu=0 bench=gsm_dec cycles=1824033 instructions=2784038 cache-misses=10
[sample=255] cpu=0 bench=gsm_dec cycles=1836409 instructions=2784038 cache-misses=15
[sample=256] cpu=0 bench=gsm_dec cycles=1844400 instructions=2784038 cache-misses=16
[sample=257] cpu=0 bench=gsm_dec cycles=1838650 instructions=2784038 cache-misses=11
[sample=258] cpu=0 bench=gsm_dec cycles=1842317 instructions=2784038 cache-misses=11
[sample=259] cpu=0 bench=gsm_dec cycles=1840895 instructions=2784038 cache-misses=13
[sample=260] cpu=0 bench=gsm_dec cycles=1850810 instructions=2784038 cache-misses=17
[sample=261] cpu=0 bench=gsm_dec cycles=1842472 instructions=2784038 cache-misses=18
[sample=262] cpu=0 bench=gsm_dec cycles=1840327 instructions=2784038 cache-misses=14
[sample=263] cpu=0 bench=gsm_dec cycles=1837772 instructions=2784038 cache-misses=20
[sample=264] cpu=0 bench=gsm_dec cycles=1831834 instructions=2784038 cache-misses=12
[sample=265] cpu=0 bench=gsm_dec cycles=1849208 instructions=2784038 cache-misses=20
[sample=266] cpu=0 bench=gsm_dec cycles=1835175 instructions=2784038 cache-misses=18
[sample=267] cpu=0 bench=gsm_dec cycles=1833703 instructions=2784038 cache-misses=16
[sample=268] cpu=0 bench=gsm_dec cycles=1790214 instructions=2784038 cache-misses=14
[sample=269] cpu=0 bench=gsm_dec cycles=1836349 instructions=2784038 cache-misses=14
[sample=270] cpu=0 bench=gsm_dec cycles=1836758 instructions=2784038 cache-misses=14
[sample=271] cpu=0 bench=gsm_dec cycles=1844030 instructions=2784038 cache-misses=14
[sample=272] cpu=0 bench=gsm_dec cycles=1840652 instructions=2784038 cache-misses=12
[sample=273] cpu=0 bench=gsm_dec cycles=1838335 instructions=2784038 cache-misses=16
[sample=274] cpu=0 bench=gsm_dec cycles=1846979 instructions=2784038 cache-misses=10
[sample=275] cpu=0 bench=gsm_dec cycles=1783640 instructions=2784038 cache-misses=21
[sample=276] cpu=0 bench=gsm_dec cycles=1742271 instructions=2784038 cache-misses=13
[sample=277] cpu=0 bench=gsm_dec cycles=1832230 instructions=2784038 cache-misses=13
[sample=278] cpu=0 bench=gsm_dec cycles=1831565 instructions=2784038 cache-misses=18
[sample=279] cpu=0 bench=gsm_dec cycles=1807497 instructions=2784038 cache-misses=18
[sample=280] cpu=0 bench=gsm_dec cycles=1834076 instructions=2784038 cache-misses=16
[sample=281] cpu=0 bench=gsm_dec cycles=1834236 instructions=2784038 cache-misses=19
[sample=282] cpu=0 bench=gsm_dec cycles=1836450 instructions=2784038 cache-misses=10
[sample=283] cpu=0 bench=gsm_dec cycles=1840757 instructions=2784038 cache-misses=17
[sample=284] cpu=0 bench=gsm_dec cycles=1845090 instructions=2784038 cache-misses=15
[sample=285] cpu=0 bench=gsm_dec cycles=1834966 instructions=2784038 cache-misses=12
[sample=286] cpu=0 bench=gsm_dec cycles=1835264 instructions=2784038 cache-misses=17
[sample=287] cpu=0 bench=gsm_dec cycles=1830357 instructions=2784038 cache-misses=15
[sample=288] cpu=0 bench=gsm_dec cycles=1836418 instructions=2784038 cache-misses=11
[sample=289] cpu=0 bench=gsm_dec cycles=1836861 instructions=2784038 cache-misses=12
[sample=290] cpu=0 bench=gsm_dec cycles=1853993 instructions=2784038 cache-misses=15
[sample=291] cpu=0 bench=gsm_dec cycles=1837467 instructions=2784038 cache-misses=11
[sample=292] cpu=0 bench=gsm_dec cycles=1840095 instructions=2784038 cache-misses=16
[sample=293] cpu=0 bench=gsm_dec cycles=1842318 instructions=2784038 cache-misses=16
[sample=294] cpu=0 bench=gsm_dec cycles=1838873 instructions=2784038 cache-misses=10
[sample=295] cpu=0 bench=gsm_dec cycles=1839363 instructions=2784038 cache-misses=19
[sample=296] cpu=0 bench=gsm_dec cycles=1841885 instructions=2784038 cache-misses=15
[sample=297] cpu=0 bench=gsm_dec cycles=1835842 instructions=2784038 cache-misses=14
[sample=298] cpu=0 bench=gsm_dec cycles=1827033 instructions=2784038 cache-misses=16
[sample=299] cpu=0 bench=gsm_dec cycles=1837406 instructions=2784038 cache-misses=11
[sample=300] cpu=0 bench=gsm_dec cycles=1837245 instructions=2784038 cache-misses=15
