[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=adpcm_dec cycles=344561 instructions=228478 cache-misses=58
[sample=47] cpu=0 bench=adpcm_dec cycles=315677 instructions=228472 cache-misses=56
[sample=48] cpu=0 bench=adpcm_dec cycles=316241 instructions=228473 cache-misses=44
[sample=49] cpu=0 bench=adpcm_dec cycles=315544 instructions=228471 cache-misses=43
[sample=50] cpu=0 bench=adpcm_dec cycles=317290 instructions=228473 cache-misses=54
[sample=51] cpu=0 bench=adpcm_dec cycles=316228 instructions=228474 cache-misses=40
[sample=52] cpu=0 bench=adpcm_dec cycles=316173 instructions=228474 cache-misses=55
[sample=53] cpu=0 bench=adpcm_dec cycles=315534 instructions=228474 cache-misses=56
[sample=54] cpu=0 bench=adpcm_dec cycles=316980 instructions=228472 cache-misses=51
[sample=55] cpu=0 bench=adpcm_dec cycles=315781 instructions=228472 cache-misses=44
[sample=56] cpu=0 bench=adpcm_dec cycles=315485 instructions=228473 cache-misses=43
[sample=57] cpu=0 bench=adpcm_dec cycles=315010 instructions=228472 cache-misses=43
[sample=58] cpu=0 bench=adpcm_dec cycles=315801 instructions=228472 cache-misses=39
[sample=59] cpu=0 bench=adpcm_dec cycles=315319 instructions=228472 cache-misses=45
[sample=60] cpu=0 bench=adpcm_dec cycles=316197 instructions=228472 cache-misses=50
[sample=61] cpu=0 bench=adpcm_dec cycles=315338 instructions=228472 cache-misses=50
[sample=62] cpu=0 bench=adpcm_dec cycles=315660 instructions=228473 cache-misses=65
[sample=63] cpu=0 bench=adpcm_dec cycles=315280 instructions=228474 cache-misses=51
[sample=64] cpu=0 bench=adpcm_dec cycles=315245 instructions=228472 cache-misses=53
[sample=65] cpu=0 bench=adpcm_dec cycles=315224 instructions=228472 cache-misses=48
[sample=66] cpu=0 bench=adpcm_dec cycles=315452 instructions=228473 cache-misses=52
[sample=67] cpu=0 bench=adpcm_dec cycles=315364 instructions=228471 cache-misses=40
[sample=68] cpu=0 bench=adpcm_dec cycles=318331 instructions=228471 cache-misses=44
[sample=69] cpu=0 bench=adpcm_dec cycles=315755 instructions=228472 cache-misses=48
[sample=70] cpu=0 bench=adpcm_dec cycles=316027 instructions=228472 cache-misses=48
[sample=71] cpu=0 bench=adpcm_dec cycles=316038 instructions=228472 cache-misses=48
[sample=72] cpu=0 bench=adpcm_dec cycles=315158 instructions=228472 cache-misses=43
[sample=73] cpu=0 bench=adpcm_dec cycles=315825 instructions=228472 cache-misses=40
[sample=74] cpu=0 bench=adpcm_dec cycles=315645 instructions=228472 cache-misses=44
[sample=75] cpu=0 bench=adpcm_dec cycles=317551 instructions=228472 cache-misses=57
[sample=76] cpu=0 bench=adpcm_dec cycles=317483 instructions=228472 cache-misses=47
[sample=77] cpu=0 bench=adpcm_dec cycles=315280 instructions=228471 cache-misses=43
[sample=78] cpu=0 bench=adpcm_dec cycles=316226 instructions=228472 cache-misses=50
[sample=79] cpu=0 bench=adpcm_dec cycles=315879 instructions=228472 cache-misses=48
[sample=80] cpu=0 bench=adpcm_dec cycles=316802 instructions=228471 cache-misses=53
[sample=81] cpu=0 bench=adpcm_dec cycles=315146 instructions=228473 cache-misses=43
[sample=82] cpu=0 bench=adpcm_dec cycles=315874 instructions=228473 cache-misses=41
[sample=83] cpu=0 bench=adpcm_dec cycles=315745 instructions=228471 cache-misses=41
[sample=84] cpu=0 bench=adpcm_dec cycles=315795 instructions=228473 cache-misses=46
[sample=85] cpu=0 bench=adpcm_dec cycles=315534 instructions=228472 cache-misses=48
[sample=86] cpu=0 bench=adpcm_dec cycles=315907 instructions=228474 cache-misses=46
[sample=87] cpu=0 bench=adpcm_dec cycles=316539 instructions=228475 cache-misses=52
[sample=88] cpu=0 bench=adpcm_dec cycles=320048 instructions=228473 cache-misses=54
[sample=89] cpu=0 bench=adpcm_dec cycles=320947 instructions=228474 cache-misses=49
[sample=90] cpu=0 bench=adpcm_dec cycles=316532 instructions=228473 cache-misses=44
[sample=91] cpu=0 bench=adpcm_dec cycles=316369 instructions=228474 cache-misses=53
[sample=92] cpu=0 bench=adpcm_dec cycles=315605 instructions=228473 cache-misses=49
[sample=93] cpu=0 bench=adpcm_dec cycles=316831 instructions=228474 cache-misses=55
[sample=94] cpu=0 bench=adpcm_dec cycles=315548 instructions=228473 cache-misses=40
[sample=95] cpu=0 bench=adpcm_dec cycles=315710 instructions=228472 cache-misses=41
[sample=96] cpu=0 bench=adpcm_dec cycles=315640 instructions=228474 cache-misses=46
[sample=97] cpu=0 bench=adpcm_dec cycles=315714 instructions=228474 cache-misses=42
[sample=98] cpu=0 bench=adpcm_dec cycles=315458 instructions=228474 cache-misses=42
[sample=99] cpu=0 bench=adpcm_dec cycles=317093 instructions=228473 cache-misses=41

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                      314881               354188            316745.05            315729.50
  instructions                228471               228478            228472.77            228472.50
  cache-misses                    37                   77                46.95                46.00
