# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fac (measured)  cpu1=MAX_MEM  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=0] cpu=0 bench=fac cycles=7238 instructions=458 cache-misses=13
[sample=36] cpu=0 bench=fac cycles=872 instructions=453 cache-misses=4
[sample=37] cpu=0 bench=fac cycles=880 instructions=453 cache-misses=5
[sample=38] cpu=0 bench=fac cycles=845 instructions=453 cache-misses=6
[sample=39] cpu=0 bench=fac cycles=892 instructions=453 cache-misses=5
[sample=40] cpu=0 bench=fac cycles=890 instructions=453 cache-misses=6
[sample=41] cpu=0 bench=fac cycles=857 instructions=453 cache-misses=6
[sample=42] cpu=0 bench=fac cycles=879 instructions=453 cache-misses=5
[sample=43] cpu=0 bench=fac cycles=895 instructions=453 cache-misses=5
[sample=44] cpu=0 bench=fac cycles=900 instructions=453 cache-misses=6
[sample=45] cpu=0 bench=fac cycles=865 instructions=453 cache-misses=6
[sample=46] cpu=0 bench=fac cycles=915 instructions=453 cache-misses=6
[sample=47] cpu=0 bench=fac cycles=862 instructions=453 cache-misses=4
[sample=48] cpu=0 bench=fac cycles=860 instructions=453 cache-misses=4
[sample=49] cpu=0 bench=fac cycles=850 instructions=453 cache-misses=3
[sample=50] cpu=0 bench=fac cycles=896 instructions=453 cache-misses=6
[sample=51] cpu=0 bench=fac cycles=837 instructions=453 cache-misses=4
[sample=52] cpu=0 bench=fac cycles=872 instructions=453 cache-misses=5
[sample=53] cpu=0 bench=fac cycles=884 instructions=453 cache-misses=6
[sample=54] cpu=0 bench=fac cycles=909 instructions=453 cache-misses=6
[sample=55] cpu=0 bench=fac cycles=867 instructions=453 cache-misses=5
[sample=56] cpu=0 bench=fac cycles=2844 instructions=453 cache-misses=5
[sample=57] cpu=0 bench=fac cycles=8406 instructions=453 cache-misses=7
[sample=58] cpu=0 bench=fac cycles=6902 instructions=453 cache-misses=4
[sample=59] cpu=0 bench=fac cycles=5875 instructions=453 cache-misses=5
[sample=60] cpu=0 bench=fac cycles=4506 instructions=453 cache-misses=5
[sample=61] cpu=0 bench=fac cycles=7849 instructions=453 cache-misses=7
[sample=62] cpu=0 bench=fac cycles=8429 instructions=453 cache-misses=6
[sample=63] cpu=0 bench=fac cycles=9280 instructions=453 cache-misses=6
[sample=64] cpu=0 bench=fac cycles=8536 instructions=453 cache-misses=5
[sample=65] cpu=0 bench=fac cycles=9163 instructions=453 cache-misses=5
[sample=66] cpu=0 bench=fac cycles=6510 instructions=453 cache-misses=3
[sample=67] cpu=0 bench=fac cycles=10581 instructions=453 cache-misses=3
[sample=68] cpu=0 bench=fac cycles=7558 instructions=453 cache-misses=6
[sample=69] cpu=0 bench=fac cycles=8651 instructions=453 cache-misses=4
[sample=70] cpu=0 bench=fac cycles=9357 instructions=453 cache-misses=4
[sample=71] cpu=0 bench=fac cycles=5411 instructions=453 cache-misses=4
[sample=72] cpu=0 bench=fac cycles=8088 instructions=453 cache-misses=4
[sample=73] cpu=0 bench=fac cycles=6414 instructions=453 cache-misses=5
[sample=74] cpu=0 bench=fac cycles=1563 instructions=453 cache-misses=5
[sample=75] cpu=0 bench=fac cycles=853 instructions=453 cache-misses=5
[sample=76] cpu=0 bench=fac cycles=848 instructions=453 cache-misses=4
[sample=77] cpu=0 bench=fac cycles=889 instructions=453 cache-misses=4
[sample=78] cpu=0 bench=fac cycles=847 instructions=453 cache-misses=3
[sample=79] cpu=0 bench=fac cycles=828 instructions=453 cache-misses=3
[sample=80] cpu=0 bench=fac cycles=863 instructions=453 cache-misses=4
[sample=81] cpu=0 bench=fac cycles=852 instructions=453 cache-misses=5
[sample=82] cpu=0 bench=fac cycles=880 instructions=453 cache-misses=4
[sample=83] cpu=0 bench=fac cycles=853 instructions=453 cache-misses=5
[sample=84] cpu=0 bench=fac cycles=859 instructions=453 cache-misses=5
[sample=85] cpu=0 bench=fac cycles=847 instructions=453 cache-misses=5
[sample=86] cpu=0 bench=fac cycles=864 instructions=453 cache-misses=4
[sample=87] cpu=0 bench=fac cycles=856 instructions=453 cache-misses=5
[sample=88] cpu=0 bench=fac cycles=882 instructions=453 cache-misses=5
[sample=89] cpu=0 bench=fac cycles=860 instructions=453 cache-misses=4
[sample=90] cpu=0 bench=fac cycles=836 instructions=453 cache-misses=5
[sample=91] cpu=0 bench=fac cycles=862 instructions=453 cache-misses=4
[sample=92] cpu=0 bench=fac cycles=846 instructions=453 cache-misses=4
[sample=93] cpu=0 bench=fac cycles=866 instructions=453 cache-misses=4
[sample=94] cpu=0 bench=fac cycles=796 instructions=453 cache-misses=4
[sample=95] cpu=0 bench=fac cycles=817 instructions=453 cache-misses=5
[sample=96] cpu=0 bench=fac cycles=840 instructions=453 cache-misses=5
[sample=97] cpu=0 bench=fac cycles=850 instructions=453 cache-misses=3
[sample=98] cpu=0 bench=fac cycles=807 instructions=453 cache-misses=5
[sample=99] cpu=0 bench=fac cycles=812 instructions=453 cache-misses=5

# Statistics over 100 samples on cpu0 bench=fac (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                         796                10581              2270.90               888.00
  instructions                   453                  458               453.05               453.00
  cache-misses                     3                   13                 5.02                 5.00
